Date:,Time:,pH,Ammonia (ppm),Nitrite (ppm),Nitrate (ppm),Water Temp,Room Temp,Dissolved Oxygen
1/1/2022,10:00,7.6,0.25,0,10,76.3,82,7.2
1/2/2022,11:00,7.6,1,0,20,77,93,7.2
1/3/2022,10:40,7.6,1,0,20,76.7,98,7
1/4/2022,9:44 AM,7.6,1,0,100,73,88,7.4
1/5/2022,8:53,7.6,1,0,20,75,79,7.2
1/6/2022,8:48,7.6,1,0,20,74,72,7.3
1/8/2022,11:00,7.6,1,0,40,77,94,7.4
1/9/2022,12:00,7.6,1,0,60,73.7,97,8.3
1/10/2022,9:58 AM,7.6,0.5,0,20,73.5,90,7.4
1/11/2022,9:40,7.4,0.5,0,40,72.8,78,6.9
1/12/2022,10:00,7,0.25,0,40,73.9,84,6.9
1/13/2022,9:49 AM,7.6,0.25,0,40,74.3,81,7.8
1/14/2022,9:25,7.2,0.25,0,40,74,78,7.2
1/15/2022,10:00,7.6,0,0,40,76.1,90,7.6
1/16/2022,11:00,7.6,0,0,40,76,83,7.3
1/17/2022,9:00,7.6,0,0,60,72.5,80,8.1
1/18/2022,9:53 AM,7.6,0.25,0,20,72.2,83,8.1
1/19/2022,9:48 AM,7.6,0.25,0,40,72.2,83,7.8
1/20/2022,10:00,7.6,0,0,60,73.6,84,7.3
1/21/2022,9:00,7.6,0.25,0,80,73.4,82,7.6
1/23/2022,11:00,7.6,0.25,0,80,76.2,90,7.3
1/24/2022,9:00,7.6,0.25,0,80,74.3,82,7.5
1/25/2022,10:40,7.2,0.25,0,60,75.1,87,7.4
1/26/2022,9:59 AM,7.6,0.25,0,80,74.8,84,7.5
1/27/2022,9:00,7.4,0.25,0,80,73.4,80,7.2
1/28/2022,9:00,7.4,0.25,0,80,73.2,85,7.6
1/29/2022,12:00,7.6,0.25,0,80,78.2,95,7.8
1/30/2022,12:00,7.6,0.25,0,80,76.6,94,7.6
1/31/2022,9:00,7.6,0.25,0,100,71.5,78,7.6
2/1/2022,9:51 AM,7.6,0.25,0,100,74.5,84,7.5
2/2/2022,9:56 AM,7.6,0.25,0,100,73,83,7.9
2/3/2022,11:00 AM,7.6,0.25,0,80,74.4,89,7.9
2/4/2022,9:35,7.4,0,0,120,72,85,7.6
2/5/2022,11:00,7.4,0,0,120,79.3,92,7.3
2/6/2022,12:00,7.4,0,0,120,80.8,95,7.5
2/7/2022,9:30 AM,7.4,0,0,120,74.9,84,8.1
2/8/2022,9:30,7.4,0,0,50,75.8,85,8.5
2/9/2022,9:00,7.4,0,0,100,72.6,79,8.3
2/10/2022,9:00,7.6,0,0,100,72.9,85,8.1
2/11/2022,9:30,7.2,0,0,80,72.1,83,7.5
2/12/2022,12:00,7.6,0,0,80,75.5,95,7.8
2/13/2022,10:00,7.6,0.25,0,80,71,85,8.1
2/14/2022,8:45,7.6,0,0,100,71.5,77,8.1
2/15/2022,8:45,7.4,0,0,40,71.2,75,8.4
2/16/2022,8:45,7.4,0,0,30,72.2,80,8
2/17/2022,8:45,7.4,0,0,30,72.8,83,8
2/18/2022,9:44,7.4,0,0,80,75.8,87,10
2/19/2022,12:00,7.6,0,0,20,78.7,101,7.5
2/20/2022,11:30,7.6,0,0,30,76.2,98,7.3
2/21/2022,9:41,7.4,0,0,80,75.3,85,7.2
2/22/2022,10:00,7.6,0,0,20,79.6,91,7.1
2/23/2022,10:24,7.6,0,0,20,74.7,86,7.1
2/24/2022,10:24,7.6,0,0,20,74.7,86,7.1
2/25/2022,9:10,7,0,0,25,75.5,81,7
2/26/2022,12:00,7.6,0.25,0,20,77.5,99,8
2/27/2022,12:00,7.6,0.25,0,20,78.2,98,8
2/28/2022,9:00,7.8,0,0,30,73.3,82,8
3/1/2022,8:45,7.4,0,0,20,74.3,80,8
3/2/2022,9:02,7.2,0.2,0,30,73.3,81,7.8
3/3/2022,11:05,7.6,0,0,40,76,95,7.2
3/4/2022,9:13,7.3,0,0,20,73.6,82,7.4
3/5/2022,12:00,7.6,0,0,30,76.8,97,7.1
3/6/2022,11:00,7.6,0,0,30,74.2,92,7.8
3/7/2022,9:30,8.4,0,0,30,73.5,87,9
3/8/2022,9:00,8.3,0.1,0,30,74.8,84,7.6
3/9/2022,9:00,8.2,0.2,0,40,75.4,82,7.9
3/10/2022,11:00,7.6,0,0,100,73.2,97,6.7
3/11/2022,9:20,7.6,0,0,20,76,84,7.6
3/12/2022,10:00,8.4,0,0,80,75.5,90,7.8
3/13/2022,11:00,8.17,0.1,0,80,74.8,93,7.3
3/14/2022,10:30,7.6,0,0,30,"74,7",86,7
3/15/2022,9:20,7.5,0,0,30,74.5,82,6.9
3/16/2022,9:42,7.5,0,0,30,76.2,84,7.4
3/17/2022,10:05,7.5,0,0,30,77.4,84,6.8
3/18/2022,9:43,7.2,0,0,20,76.4,83,7
3/19/2022,9:45,7.2,0,0,20,75.3,85,7.6
3/20/2022,11:00,7.4,0,0,20,76.8,87,7.3
3/21/2022,11:00,7.4,0.1,0,30,73.4,86,7.3
3/22/2022,9:30,7.6,0,0,0,74.2,85,7.2
3/23/2022,9:09,7.6,0,0,20,73.2,86,8.5
3/24/2022,8:45,7.2,0,0,20,73.4,87,7.2
3/25/2022,11:00,8.3,0,0,20,75,85,7.3
3/26/2022,11:00,7.6,0.1,0,20,73.8,81,7.4
